Employer,"Doing Business As","Account Status","Date Enrolled","Date Terminated","Workforce Size","Number of Hiring Sites","Hiring Site Locations (by state)"
"Teng Yue Partners, L.P.",,Open,11/08/2019,,"20 to 99",1,NY
"Teng Yue Partners, L.P.","Obligo inc.",Terminated,07/11/2019,02/03/2020,"20 to 99",1,NY
"Tennant Special Risk, LLC","Tennant Special Risk",Open,01/24/2018,,"10 to 19",1,GA
"Tennessee Bank and Trust",,Open,05/01/2018,,"20 to 99",1,TN
"Tennessee Commerce Bank",,Open,09/19/2009,,"20 to 99",4,"AL, GA, MN, TN"
"Tennessee Company","Tenco Services, Inc.",Open,02/27/2017,,"20 to 99",10,"GA, KY, TN"
"Tennessee Credit Union",,Open,01/29/2020,,"20 to 99",1,TN
"TENNESSEE FARMERS MUTUAL INS CO","FARM BUREAU INSURANCE OF TENNESSEE",Open,01/30/2012,,"500 to 999",1,TN
"Tennessee Quick Cash Inc.",,Terminated,06/18/2013,07/03/2016,"20 to 99",1,TN
"Tennessee Quick Cash, Inc.",,Open,04/19/2012,,"20 to 99",1,TN
"Tennessee State Bank",,Terminated,08/06/2012,12/27/2017,"100 to 499",1,TN
"Tennessee State Bank",,Terminated,08/22/2012,08/17/2014,"100 to 499",1,TN
"Tennessee State Bank",,Open,11/27/2017,,"100 to 499",1,TN
"Tennessee Title Loans",,Open,04/29/2016,,"20 to 99",1,GA
"Tennessee Title Loans, Inc",,Open,05/15/2009,,"1,000 to 2,499",1,GA
"Tennessee Title Loans, Inc",,Open,02/24/2015,,"100 to 499",1,GA
"Tennessee Valley Federal Credit Union",,Open,02/05/2009,,"100 to 499",1,TN
"Tennessee Valley Federal Credit Union",,Open,05/23/2019,,"100 to 499",1,TN
"Tennessee Valley Title Ins. Co.",,Open,12/30/2019,,"20 to 99",2,TN
"Tensas State Bank",,Open,08/31/2011,,"20 to 99",1,LA
"Teresa Rogers Agency",,Open,10/10/2012,,"5 to 9",1,AL
"Terminal Velocity Processing, Inc.",,Open,03/31/2005,,"5 to 9",1,CA
"Ternian Insurance Group LLC",,Open,02/13/2008,,"20 to 99",1,AZ
"Terrabank, NA",,Open,09/03/2009,,"20 to 99",1,FL
"Terrace Mortgage Company",,Open,05/04/2009,,"20 to 99",2,"FL, GA"
"TERRACORE DEVELOPMENT SERVICES LLC","TERRACORE DEVELOPMENT SERVICES LLC",Open,02/03/2020,,"5 to 9",1,AL
"Terranum Capital LLC","TC Latin America Partners",Open,11/08/2016,,"5 to 9",1,NY
"Terri D Brock Agency Inc",,Open,05/28/2012,,"5 to 9",1,SC
"Terri H Landry","Terri H Landry State Farm",Open,10/25/2011,,"5 to 9",1,LA
"Territorial Mortgage Company, L.L.C.",,Open,10/03/2007,,"10 to 19",1,AZ
"Territorial Savings Bank",,Open,01/19/2017,,"100 to 499",30,HI
"Terry L Green & Associates",eSportsInsurance,Open,07/25/2013,,"5 to 9",1,GA
"Terry L Norris Financial Services, LLC",,Open,12/02/2013,,"5 to 9",1,SC
"Texana Bank, N.A.",,Open,06/23/2011,,"20 to 99",1,TX
"Texana Bank, NA","Texana Bank",Open,02/11/2020,,"100 to 499",4,TX
"Texans Credit Union",,Open,03/05/2019,,"100 to 499",13,TX
"Texans Credit Union",,Open,06/12/2012,,"100 to 499",2,TX
"Texas Bank","Texas Bank",Open,07/23/2019,,"100 to 499",9,TX
"Texas Bank & Trust Co.",,Open,07/16/2010,,"100 to 499",1,TX
"Texas Bank and Trust Company",,Open,05/28/2010,,"100 to 499",1,TX
"Texas Bank Financial","Texas Bank Mortgage",Open,11/19/2019,,"100 to 499",4,TX
"Texas Bay Area Credit Union","Texas Bay Area Credit Union",Open,01/29/2018,,"100 to 499",1,TX
"Texas Capital Bank",,Open,02/05/2018,,"1,000 to 2,499",15,"CA, IL, TX"
"Texas Car Title & Payday Loan Service",,Open,04/29/2016,,"100 to 499",1,GA
"Texas Car Title & Payday Loan Service, Inc",,Open,04/24/2012,,"100 to 499",1,TX
"Texas Car Title & Payday Loan Services, Inc",,Open,02/24/2015,,"100 to 499",1,GA
"Texas Car Title & Payday Loan Services, Inc",,Terminated,10/04/2010,10/25/2010,"100 to 499",1,GA
"Texas County & District Retirement System",,Open,01/09/2017,,"100 to 499",1,TX
"Texas Department of Public Safety Credit Union",,Open,11/06/2015,,"20 to 99",1,TX
"TEXAS DPS CREDIT UNION",,Open,04/01/2019,,"20 to 99",1,TX
"Texas DPS Credit Union","Texas DPS Credit Union",Terminated,05/04/2016,08/02/2019,"10 to 19",1,TX
"Texas Farm Credit",,Open,03/13/2013,,"100 to 499",1,TX
"Texas First State Bank",,Open,05/02/2014,,"20 to 99",1,TX
"TEXAS HILL COUNTY BANK",,Open,04/03/2018,,"20 to 99",2,TX
"Texas Leadership Bank",,Open,02/25/2009,,"10 to 19",1,TX
"Texas Legal Protection Plan, Inc.",,Open,03/13/2014,,"5 to 9",1,TX
"Texas Life Insurance Company",,Open,11/23/2018,,"100 to 499",1,TX
"Texas Life Insurance Company",,Open,05/07/2012,,"100 to 499",1,TX
"Texas Municipal League Workmens Compensation Joint Insurance Fund",,Open,05/24/2013,,"100 to 499",7,TX
"Texas Municipal Retirement System (TMRS)",,Open,04/21/2015,,"100 to 499",1,TX
"Texas Republic Capital Corporation",,Open,01/16/2018,,"5 to 9",1,TX
"Texas Series of Lockton Companies, LLC",,Open,02/26/2019,,"100 to 499",1,LA
"Texas Tech Federal Credit Union",,Open,06/19/2018,,"20 to 99",1,TX
"Texas Tech Federal Credit Union",,Terminated,11/01/2016,01/20/2020,"20 to 99",1,TX
"Texas Trust Credit Union",,Open,12/20/2018,,"100 to 499",23,TX
"Texas Trust Credit Union",,Terminated,11/30/2018,12/20/2018,"100 to 499",21,TX
"Texas Trust Credit Union",,Terminated,08/30/2018,12/30/2018,"100 to 499",21,TX
"Texas Trust Credit Union",,Open,02/21/2013,,"100 to 499",11,TX
TexasBank,TexasBank,Open,07/21/2015,,"100 to 499",1,TX
"Texell Credit Union",,Open,09/12/2012,,"100 to 499",1,TX
TEXIG,"TEXIG Investor",Open,01/24/2018,,"10,000 and over",1,FL
"TexStar National Bank",,Open,04/27/2011,,"20 to 99",1,TX
"TEXTRON FINANCIAL",,Terminated,01/22/2010,02/05/2014,"500 to 999",7,"CO, CT, GA, KS, MN, MO, RI"
"Teza Technologies LLC",,Open,05/11/2010,,"10 to 19",1,IL
"TFC Partners","NFC Amentiy",Open,11/29/2016,,"1,000 to 2,499",14,"CA, CO, DC, FL, GA, NC, NJ, NY, TX, WA"
"TG Therapeutics, Inc",,Open,05/06/2014,,"10 to 19",1,NY
"TGS Financial Advisors",,Terminated,05/20/2009,10/11/2017,"10 to 19",1,PA
"Thales Trading Solution LLC",,Open,09/19/2019,,"10 to 19",1,NY
"Thaxton & Associates",,Open,07/17/2013,,"5 to 9",4,"CA, SC"
"Thaxton Investment Corp","Southern Finance",Terminated,01/25/2012,08/24/2013,"500 to 999",169,"AL, GA, SC, TN"
"Thaxton Investment Corporation",,Open,11/09/2017,,"1,000 to 2,499",1,SC
"Thaxton Investment Corporation","Southern Management Corporation",Open,11/22/2019,,"1,000 to 2,499",292,"AL, GA, OK, SC, TN, TX"
"The A.I. Group, Inc.",,Terminated,04/09/2013,09/16/2018,"20 to 99",1,GA
"The Abacus Group","MillerMusmar CPAs",Open,03/05/2018,,"20 to 99",1,VA
"The ACH Processing Company, Inc.","The ACH Processing Company, Inc",Open,12/21/2016,,"5 to 9",1,TX
"The Adams Agency, LLC.",,Open,10/15/2007,,"10 to 19",1,AZ
"The Adirondack Trust Company",,Open,11/18/2011,,"100 to 499",12,NY
"The Adroit Group","Adroit Health Group",Open,10/29/2018,,"20 to 99",1,TX
"The Advantage Mortgage Group, Inc.",,Open,10/03/2007,,"20 to 99",1,AZ
"The Affiliated Group",,Terminated,03/03/2014,12/23/2015,"100 to 499",1,MN
"The Agents Marketing Group, Inc",,Open,03/27/2014,,"10 to 19",2,"AL, GA"
"The Albrecht Companies","Action Benefits",Open,06/25/2019,,"20 to 99",1,MI
"The Altman Group",,Open,02/15/2008,,"20 to 99",2,"NJ, NY"
"The American Home Life Insurance Company",,Open,09/21/2012,,"20 to 99",1,KS
"The Amynta Group",,Open,06/20/2018,,"1,000 to 2,499",21,"CA, DC, FL, GA, IL, MD, MI, NE, NJ, NY, OK, TX, VT, WI"
"The Amynta Group",,Open,07/17/2018,,"1,000 to 2,499",21,"CA, DC, FL, GA, IL, MD, MI, NE, NJ, NY, OK, TX, VT, WI"
"The Arbitrage Group, Inc.",,Open,02/15/2012,,"5 to 9",3,"AL, TX, WI"
"The Arizona Group",,Open,10/11/2007,,"20 to 99",1,AZ
"The Arrow Group",,Open,09/26/2007,,"10 to 19",1,OK
"The Assistance Fund",,Open,04/22/2019,,"20 to 99",12,"FL, WA"
"The Associates Group",,Open,08/07/2013,,"5 to 9",1,GA
"The Assurance Group, Inc",,Open,07/10/2013,,"20 to 99",17,"AR, CA, FL, ID, IN, NC, NV, OH, SC, TX, WA"
"The Assurance Group, Inc.",,Open,04/07/2012,,"20 to 99",1,AL
"The Ausband Agency Inc",,Open,09/27/2012,,"10 to 19",1,GA
"The Auto Insurance Specialist",,Open,04/30/2008,,"5 to 9",1,AZ
"The Ayco Company, L.P.",,Open,06/27/2013,,"20 to 99",1,GA
"the bagnall company",,Open,10/25/2007,,"5 to 9",1,AZ
"the bagnall company",,Open,12/13/2010,,"5 to 9",1,AZ
"The Baldwin Agency, Inc.",,Open,04/28/2009,,"10 to 19",1,GA
"The Baltimore Life Companies","The Baltimore Life Companies",Open,04/30/2019,,"100 to 499",11,"MD, PA, SC, WV"
"The Bancorp",,Open,07/08/2019,,"500 to 999",63,"AL, AZ, CA, CO, DE, FL, GA, IL, IN, MD, MN, MO, NC, NJ, NY, PA, SC, SD, TN, TX, UT, VA, WA, WI"
"The Bancorp Bank",,Open,08/09/2011,,"100 to 499",3,"DE, SD, UT"
"The Bancorp Bank",,Open,06/14/2012,,"100 to 499",1,DE
"The Bancshares, Inc.",,Open,08/08/2011,,"20 to 99",1,LA
"The Bank & Trust s.s.b.",,Open,01/08/2020,,"100 to 499",8,TX
"The Bank NA",,Open,06/02/2008,,"100 to 499",1,OK
"The Bank of Burlington",,Open,06/22/2017,,"10 to 19",1,CO
"The Bank of Castile",,Open,05/25/2011,,"100 to 499",1,NY
"THE BANK OF COMMERCE",,Open,08/28/2009,,"100 to 499",1,ID
"The Bank of East Asia Limited Los Angeles Branch",,Open,01/27/2014,,"20 to 99",1,CA
"The Bank of East Asia Limited Los Angeles Branch",,Open,08/24/2015,,"20 to 99",1,CA
"The Bank of Edison",,Open,08/12/2013,,"10 to 19",1,GA
"The Bank of Fayette County",Same,Open,11/05/2013,,"20 to 99",1,TN
"The Bank of Fincastle",,Open,04/26/2019,,"20 to 99",1,VA
"The Bank of Georgia",,Open,02/25/2014,,"20 to 99",1,GA
"The Bank of Kremlin",,Open,10/22/2009,,"20 to 99",1,OK
"The Bank of Marion",,Open,06/11/2009,,"100 to 499",14,"TN, VA"
"The Bank of Missouri",,Open,07/23/2009,,"100 to 499",13,MO
"The Bank of New York Mellon",,Terminated,04/16/2010,03/02/2020,"10,000 and over",2,"NY, PA"
"The Bank of New York Mellon (111-Lake Mary)",,Open,07/17/2013,,"5 to 9",9,"FL, NJ, NY"
"The Bank of New York Trust Company, N.A",,Terminated,12/28/2006,08/23/2019,"100 to 499",1,CA
"The Bank of New York Trust Company, N.A.",,Terminated,12/22/2006,05/05/2010,"500 to 999",1,TX
"The Bank of New York Trust Company, N.A.",,Terminated,12/22/2006,06/13/2018,"20 to 99",0,
"The Bank of New York Trust Company, N.A.",,Terminated,12/28/2006,08/23/2019,"20 to 99",1,CA
"The Bank of New York Trust Company, N.A.",,Terminated,12/28/2006,08/23/2019,"20 to 99",1,GA
"The Bank of Nova Scotia",Scotiabank,Open,01/28/2020,,"1,000 to 2,499",6,"CA, FL, LA, MA, NY, TX"
"The Bank of Old Monroe",,Open,06/17/2019,,"20 to 99",1,MO
"the bank of orrick",,Open,09/26/2008,,"10 to 19",1,MO
"THE BANK OF PERRY",,Open,05/13/2013,,"20 to 99",2,GA
"The Bank of Princeton",,Open,09/26/2019,,"100 to 499",1,NJ
"The Bank of Princeton",,Open,02/12/2014,,"100 to 499",1,NJ
"The Bank of Princeton",,Terminated,09/10/2019,10/26/2019,"100 to 499",1,NJ
"The Bank of San Antonio",,Open,01/16/2015,,"20 to 99",4,TX
"The Bank of South Carolina",,Open,08/25/2009,,"20 to 99",1,SC
"The Bank of Southside Virginia",,Open,08/27/2019,,"100 to 499",1,VA
"The Bank of Star Valley",,Open,03/21/2019,,"20 to 99",1,WY
"The Bank of Tampa",,Open,08/03/2018,,"100 to 499",1,FL
"The Bank of Tampa",,Open,02/03/2009,,"100 to 499",1,FL
"The Bank of Tioga",,Open,03/17/2017,,"20 to 99",2,ND
"The Bank of Waynesboro",,Open,12/23/2016,,"20 to 99",4,TN
"The Bankers Bank",,Open,02/07/2019,,"20 to 99",1,OK
"The Beer Financial Group",,Terminated,05/23/2011,07/06/2014,"20 to 99",4,CA
"The Benecon Group, Inc.",,Open,05/30/2019,,"100 to 499",1,PA
"The Benecon Group, Inc.",,Open,06/24/2019,,"100 to 499",2,PA
"The Beneficient Company Group (USA), L.L.C.",,Open,03/18/2019,,"20 to 99",1,TX
"The Benefit Company","The Benefit Company, a TBX Benefit Partner",Open,03/05/2013,,"10 to 19",1,GA
"The Benefit Planning Group","The Benefit Planning Group",Open,02/10/2011,,"10 to 19",1,GA
"The Benefits Company Inc","The Payroll Company",Open,06/01/2011,,"5 to 9",1,MA
"The Berwyn Group, Inc.","The Berwyn Group",Open,07/27/2011,,"5 to 9",1,OH
"The Biltmore Bank of Arizona",,Open,10/26/2011,,"20 to 99",1,AZ
"The BNY Trust Company, N. A.",,Terminated,11/17/2006,05/11/2010,"10 to 19",1,NY
"The Board of Trade of Kansas City, Missouri, Inc.","Kansas City Board of Trade",Terminated,02/16/2011,09/12/2011,"10 to 19",1,MO
"The Bolton Group",,Open,02/01/2016,,"20 to 99",1,GA
"The Boon Insurance Agency Inc.",,Terminated,01/06/2014,02/26/2015,"20 to 99",1,TX
"The Brand Banking Company",,Terminated,12/30/2011,04/20/2019,"100 to 499",1,GA
"the brown and joseph companies",,Open,09/29/2009,,"100 to 499",1,IL
"The Bruner Agency, Inc",,Open,01/19/2012,,"5 to 9",1,SC
"The Buckhead Community Bank",,Open,08/04/2008,,"100 to 499",8,GA
"The Buckingham Research Group","The Buckingham Research Group, Inc.",Open,03/25/2019,,"20 to 99",1,NY
"The Buckner Company",,Terminated,07/28/2010,04/01/2014,"100 to 499",2,UT
"The Buckner Company",,Open,02/11/2015,,"100 to 499",1,UT
"The Buckner Company",,Open,01/17/2018,,"100 to 499",5,"CO, ID, UT"
"The Burgiss INC",,Open,11/10/2015,,"20 to 99",1,NJ
"The Burlington Capital Group",,Open,02/26/2010,,"20 to 99",1,NE
"The Business Backer, LLC",,Terminated,06/25/2012,09/11/2015,"20 to 99",1,OH
"The Business Bank",,Open,09/16/2009,,"100 to 499",2,MN
"The Business Bank of St. Louis",,Open,01/21/2009,,"20 to 99",1,MO
"The Cafaro Group","Cafaro Greenleaf",Open,05/14/2014,,"5 to 9",1,NJ
"The Callaway Bank",,Open,01/21/2009,,"100 to 499",1,MO
"The Callaway Black Group, Inc.",,Open,06/28/2013,,"10 to 19",1,GA
"The Campbell Group, LLC",,Open,01/13/2012,,"100 to 499",17,"AL, AR, CA, LA, MS, OK, OR, TX, WA"
"The Cape Cod Five Cents Savings Bank",,Open,08/27/2009,,"100 to 499",1,MA
"The Capital Group Companies, Inc. and its Affiliates",,Terminated,06/01/2012,07/27/2016,"5,000 to 9,999",15,"AZ, CA, DC, FL, GA, IL, IN, NV, NY, TX, VA"
"The Capital Group Companies, Inc., and its Affiliates","Capital Group Companies",Open,01/06/2016,,"5,000 to 9,999",13,"CA, DC, GA, IL, IN, NV, NY, TX, VA"
"The Capstone Group LLC D9Y",,Terminated,04/24/2017,03/03/2019,"10 to 19",1,GA
"The Carrington Companies, LLC",,Open,11/14/2019,,"10 to 19",4,"CA, CT, OH, TN"
"The Cason Group, Inc.",,Open,11/15/2011,,"20 to 99",1,SC
"The Catastrophe Risk Exchange Inc",CATEX,Open,01/20/2011,,"10 to 19",1,NJ
"The CBE Group, Inc.",,Terminated,12/15/2008,06/02/2013,"20 to 99",1,GA
"The Center for Special Needs Trust Administration, Inc.",,Open,05/25/2011,,"20 to 99",1,FL
"The Chad Murray Agency, LLC",,Open,06/01/2016,,"5 to 9",1,VA
"The Charles Agency Inc",,Open,07/20/2016,,"5 to 9",1,GA
"The Check Cashing Place",,Open,11/21/2012,,"20 to 99",1,CA
"The Checkley Agency, Inc","First Mid Insurance Group",Open,07/15/2016,,"10 to 19",1,IL
"The CIMA Companies, Inc.",,Open,04/19/2012,,"20 to 99",1,VA
"The Citizens Bank",,Open,08/23/2011,,"100 to 499",1,SC
"The Citizens Bank",,Open,04/20/2012,,"20 to 99",1,AL
"THE CITIZENS BANK",,Open,01/29/2013,,"20 to 99",1,GA
"THE CITIZENS BANK",,Open,07/03/2012,,"10 to 19",1,AL
"The Citizens Bank","The Citizens Bank",Open,07/03/2019,,"100 to 499",22,AR
"The Citizens Bank Company",,Open,10/31/2017,,"20 to 99",5,OH
"The Citizens Bank of Clovis",,Open,07/20/2012,,"20 to 99",1,NM
"The Citizens Bank of Cochran","The Citizens Bank of Cochran",Open,08/09/2013,,"20 to 99",1,GA
"The Citizens Bank of Georgia",,Open,03/10/2009,,"20 to 99",1,GA
"The Citizens Bank of Philadelphia",,Open,06/06/2008,,"100 to 499",25,MS
"THE CITIZENS BANK OF VALLEY HEAD",,Open,06/28/2012,,"10 to 19",1,AL
"THE CITIZENS BANK OF WINFIELD",,Open,04/09/2012,,"20 to 99",1,AL
"The Citizens State Bank",,Open,09/11/2019,,"100 to 499",2,KS
"The Citizens State Bank of Ouray",,Open,04/19/2013,,"20 to 99",1,CO
"The Clarendon Insurance Agency Inc.",,Open,04/01/2012,,"5 to 9",1,SC
"The Claxton Bank",,Open,04/06/2012,,"20 to 99",1,GA
"The Clearing House",,Open,08/05/2013,,"100 to 499",3,"DC, NC, NY"
"The Clements Agency, LLC","The Clements Agency",Open,02/16/2016,,"10 to 19",2,AZ
"The Clifton Group Investment Management Company",,Terminated,09/17/2009,01/21/2016,"100 to 499",1,MN
"The Climate Corporation",,Open,07/22/2014,,"100 to 499",5,"CA, IA, KS, MO, WA"
"The Climate Corporation",,Open,10/12/2011,,"20 to 99",1,CA
"The Closing Agent",,Open,07/22/2019,,"20 to 99",1,FL
"The Coastal Bank",,Open,05/09/2013,,"100 to 499",1,GA
"The Coastal Bank",,Open,06/17/2008,,"100 to 499",1,GA
"The Collection Agency LLC","Collection Associates",Open,08/19/2019,,"10 to 19",1,NE
"The Commerce Insurance Company","MAPFRE USA",Open,08/19/2008,,"2,500 to 4,999",21,"AZ, CA, FL, IN, MA, NJ, NY, OH"
"The Commerce Insurance Company","MAPFRE USA",Open,06/20/2018,,"2,500 to 4,999",28,"AZ, CA, FL, MA, NY, OH"
"The Commercial Bank",,Open,11/15/2012,,"20 to 99",1,MS
"THE COMMERCIAL BANK",,Open,10/22/2013,,"20 to 99",1,SC
"The Commercial Bank",,Open,06/30/2014,,"20 to 99",1,AL
"The Commercial Bank",,Open,02/20/2014,,"20 to 99",1,GA
"The Commercial Bank","The Commercial Bank",Open,12/08/2011,,"20 to 99",1,SC
"The Commercial Bank of Grayson",,Open,09/05/2008,,"20 to 99",1,KY
"The Commerical Bank",,Open,05/22/2012,,"20 to 99",5,SC
"The Community Bank",,Open,01/09/2009,,"20 to 99",1,MA
"The Community Bank",,Open,07/29/2013,,"10 to 19",1,TX
"The Community State Bank",,Open,07/05/2007,,"20 to 99",1,OK
"THE COMMUNITY STATE BANK",,Open,03/26/2018,,"100 to 499",1,OK
"The Cone Insurance Agency",,Open,05/07/2012,,"5 to 9",2,"AL, FL"
"The Contractors Choice Agency",,Open,01/06/2008,,"5 to 9",2,AZ
"The Conway National Bank",,Open,11/02/2011,,"100 to 499",1,SC
"The Cornerstone Insurance Group",,Open,12/15/2009,,"20 to 99",1,MO
"The Corvus Group, Inc.",,Open,02/12/2010,,"100 to 499",1,MD
"The Credit Union for Robertson County",,Open,09/13/2018,,"20 to 99",1,TN
"The Crichton Group","The Crichton Group",Open,12/13/2016,,"20 to 99",1,TN
"The Ctitizens Bank",,Open,03/28/2012,,"20 to 99",1,AL
"The Cypress Funds",,Open,10/05/2017,,"10 to 19",1,CA
"The Dale B. Foster Insurance Agency, Inc.",,Open,10/31/2014,,"5 to 9",1,SC
"The Debt Exchange, Inc.","The Debt Exchange, Inc.",Open,10/17/2016,,"20 to 99",4,"CA, GA, MA, NY"
"The Depository Trust & Clearing Corporation",,Open,04/27/2016,,"500 to 999",6,"DC, FL, MA, NJ, NY, TX"
"The Doan Group",,Open,01/06/2014,,"10 to 19",1,GA
"The Dollarhide Financial Group, LLC",,Open,02/03/2010,,"10 to 19",1,AZ
"The Doman Group LLC",,Open,03/20/2017,,"5 to 9",1,NY
"The East Carolina Bank",,Open,12/20/2012,,"100 to 499",35,NC
"THE EDGAR LOMAX COMPANY",,Open,11/14/2019,,"10 to 19",1,VA
"The Edgartown National Bank",,Open,02/11/2014,,"20 to 99",1,MA
"THE EDGEWOOD GROUP","THE EDGEWOOD GROUP",Open,12/11/2019,,"5 to 9",1,UT
"The Edinburgh Group Inc",AMCAT,Open,08/04/2010,,"20 to 99",1,TX
"The Edwards Agency Inc",,Open,01/03/2012,,"5 to 9",1,AL
"The Equitable Bank, S.S.B.",,Open,09/03/2009,,"100 to 499",1,WI
"The Evangeline Bank & Trust Company",,Open,11/07/2014,,"100 to 499",3,LA
"The Exchange Bank",,Open,02/12/2020,,"20 to 99",1,OK
"The Farmers Automobile Insurance Association","Pekin Insurance",Terminated,06/27/2018,08/04/2018,"500 to 999",9,"AZ, IA, IL, IN, OH, WI"
"The Farmers Automobile Insurance Association","Pekin Insurance",Open,06/29/2018,,"500 to 999",9,"AZ, IA, IL, IN, OH, WI"
"The Farmers Bank",,Open,06/30/2011,,"100 to 499",1,IN
"The Farmers Bank",,Open,03/29/2012,,"100 to 499",10,TN
"The Farmers Bank of Willards",,Open,06/01/2012,,"20 to 99",9,MD
"The Farmington Company",,Open,02/05/2019,,"100 to 499",1,CT
"The Fauquier Bank",,Terminated,03/30/2017,03/10/2020,"100 to 499",1,VA
"The Fauquier Bank",,Open,11/06/2019,,"100 to 499",1,VA
"The Fedeli Group",,Open,06/20/2017,,"20 to 99",1,OH
"The Federal Reserve Bank of Atlanta",,Open,06/01/2012,,"1,000 to 2,499",5,"AL, FL, GA, LA"
"The Federal Savings Bank",,Open,05/06/2013,,"100 to 499",1,IL
"The Federal Savings Bank",,Open,08/29/2011,,"20 to 99",1,KS
"THE FEDERAL SAVINGS BANK","THE FEDERAL SAVINGS BANK",Open,11/14/2018,,"500 to 999",1,AZ
"The Finance Authority of New Orleans",,Open,11/27/2017,,"10 to 19",1,LA
"The Finance Companay, LLC",Cashwell,Open,02/26/2015,,"20 to 99",40,SC
"The Financial Gym, Inc.","The Financial Gym",Open,12/20/2019,,"20 to 99",3,"CA, DC, NY"
"The First National Bank",,Open,11/07/2019,,"20 to 99",6,OH
"The First National Bank & Trust Company",,Open,06/12/2014,,"20 to 99",1,OK
"The First National Bank of Brundidge",,Open,03/29/2012,,"20 to 99",1,AL
"The First National Bank of Long Island",,Open,06/16/2008,,"100 to 499",1,NY
"The First National Bank Of Mercersburg",,Open,03/12/2012,,"20 to 99",1,PA
"The First State Bank",,Open,07/23/2010,,"20 to 99",1,WV
"The First State Bank",,Open,08/17/2007,,"100 to 499",1,GA
"THE FIRST STATE BANK",,Open,05/16/2019,,"10 to 19",1,OK
"The First, A National Banking Association",,Open,07/01/2009,,"100 to 499",1,MS
"The FNB Community Bank",,Open,01/15/2009,,"20 to 99",1,IL
"The Foothills Bank",,Open,02/15/2011,,"20 to 99",1,AZ
"The Foothills Bank",,Terminated,09/28/2007,01/11/2011,"20 to 99",1,AZ
"The Frazer Lanier Company Inc",,Open,01/19/2012,,"10 to 19",1,AL
"The Frazer Lanier Company, Inc.",,Open,01/13/2012,,"10 to 19",1,AL
"The Frederick Agency",,Open,03/27/2012,,"10 to 19",1,AL
"The Gavilon Group LLC",,Open,05/24/2012,,"1,000 to 2,499",12,"AL, GA, LA, MO, MS"
"The Gehring Group Inc.",,Open,05/16/2013,,"20 to 99",1,FL
"The Gehring Group, Inc.",,Open,09/22/2015,,"20 to 99",1,FL
"The General Agency, Inc.",,Open,08/11/2014,,"10 to 19",1,SC
"The General Retirement System for Employees of Jefferson County",,Open,11/01/2019,,"5 to 9",1,AL
"The Geo. D. Warthen Bank",,Open,09/30/2013,,"20 to 99",1,GA
"THE GLANCY AGENCY","THE GLANCY AGENCY",Open,08/13/2015,,"10 to 19",1,GA
"The Golden 1 Credit Union",,Terminated,05/12/2015,10/14/2016,"1,000 to 2,499",81,CA
"The Goldman Sachs Group, Inc.",,Open,05/27/2011,,"10,000 and over",14,"CA, FL, GA, IL, MA, NJ, NY, PA, TX"
"The Gores Group",,Open,02/14/2007,,"20 to 99",2,"CA, CO"
"The Grand Bank",,Open,06/04/2019,,"20 to 99",5,MS
"The Greenspan Company/Adjusters International",,Open,10/18/2016,,"20 to 99",5,CA
"The Greer Agency",,Open,08/06/2008,,"5 to 9",1,GA
"The Griffith Financial Group, Inc",,Open,04/15/2019,,"5 to 9",1,SC
"The Grogan Agency, Inc.","The Grogan Agency, Inc.",Open,04/06/2012,,"5 to 9",1,AL
"The Grotenhuis Group",Grotenhuis,Open,08/19/2015,,"100 to 499",2,MI
"The guardian Life INsurance Company of America",,Terminated,01/25/2012,03/02/2020,"5,000 to 9,999",67,"AL, AR, AZ, CA, CO, CT, DC, FL, GA, ID, IL, IN, KS, LA, MA, MD, MI, MN, MO, MS, NC, NE, NJ, NY, OH, OK, OR, PA, SC, TN, TX, VA, WA, WI"
"The Guardian Life Insurance Company of America","Guardian Life",Open,08/16/2013,,"5,000 to 9,999",56,"AL, AZ, CA, CO, CT, DC, FL, GA, IL, IN, KS, MA, MD, MI, MN, MO, NC, NE, NJ, NY, OH, PA, SC, TN, TX, WA, WI"
"The H Daniel Foster Company, Inc.",,Open,07/15/2010,,"5 to 9",2,SC
"The Hameroff Law Firm, P.C.",,Open,11/17/2011,,"20 to 99",1,AZ
"The Hanover Insurance Company",,Terminated,02/27/2008,03/02/2020,"2,500 to 4,999",1,MA
"The Harbor Bank of Maryland",,Open,04/16/2012,,"20 to 99",1,MD
"THE HARDIN COUNTY BANK",,Open,03/26/2012,,"100 to 499",6,TN
"The Harford Financial Services Inc.",,Open,01/19/2016,,"10,000 and over",88,"AL, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IL, IN, KS, KY, LA, MA, MD, MN, MO, MS, MT, NC, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, SD, TN, TX, UT, VA, WA, WI, WV"
"The Hartford Insurance Company",,Open,11/05/2018,,"10,000 and over",1,CT
